Date,Temperature
1980-01-02,275.2398
1980-01-03,275.39957
1980-01-04,275.77197
1980-01-05,276.20398
1980-01-06,276.5449
1980-01-07,276.33997
1980-01-08,276.30075
1980-01-09,276.55362
1980-01-10,277.74973
1980-01-11,279.6914
1980-01-12,279.5652
1980-01-13,278.90958
1980-01-14,278.5378
1980-01-15,278.89597
1980-01-16,279.74374
1980-01-17,280.76526
1980-01-18,281.4239
1980-01-19,281.2953
1980-01-20,279.8896
1980-01-21,278.63745
1980-01-22,278.4953
1980-01-23,279.05222
1980-01-24,279.25446
1980-01-25,279.05884
1980-01-26,279.52176
1980-01-27,280.1592
1980-01-28,280.8019
1980-01-29,281.25204
1980-01-30,281.29056
1980-01-31,282.0188
1980-02-01,282.1684
1980-02-02,281.5877
1980-02-03,280.63962
1980-02-04,279.9536
1980-02-05,280.0022
1980-02-06,280.043
1980-02-07,279.71005
1980-02-08,279.10864
1980-02-09,278.63126
1980-02-10,277.78326
1980-02-11,276.8402
1980-02-12,277.1747
1980-02-13,278.10428
1980-02-14,279.12054
1980-02-15,280.123
1980-02-16,280.46808
1980-02-17,280.2997
1980-02-18,280.33768
1980-02-19,280.63516
1980-02-20,280.93164
1980-02-21,281.7851
1980-02-22,282.10144
1980-02-23,282.11584
1980-02-24,282.0282
1980-02-25,282.06592
1980-02-26,282.36145
1980-02-27,283.55167
1980-02-28,284.59262
1980-02-29,283.0063
1980-03-01,282.3384
1980-03-02,283.3915
1980-03-03,284.32062
1980-03-04,284.89136
1980-03-05,285.2184
1980-03-06,285.49127
1980-03-07,285.2033
1980-03-08,283.18863
1980-03-09,282.15005
1980-03-10,281.56805
1980-03-11,281.8831
1980-03-12,283.0549
1980-03-13,284.17123
1980-03-14,284.87155
1980-03-15,285.36844
1980-03-16,286.0079
1980-03-17,286.79437
1980-03-18,287.47333
1980-03-19,287.43814
1980-03-20,287.016
1980-03-21,286.66818
1980-03-22,286.6949
1980-03-23,286.53354
1980-03-24,285.52847
1980-03-25,285.73776
1980-03-26,286.9178
1980-03-27,287.4349
1980-03-28,287.2718
1980-03-29,287.7459
1980-03-30,288.50345
1980-03-31,288.79108
1980-04-01,288.91196
1980-04-02,289.17358
1980-04-03,288.82132
1980-04-04,286.9651
1980-04-05,286.8508
1980-04-06,287.75922
1980-04-07,287.7395
1980-04-08,288.3004
1980-04-09,289.2871
1980-04-10,289.69598
1980-04-11,289.1701
1980-04-12,289.00616
1980-04-13,289.7637
1980-04-14,290.23392
1980-04-15,290.78293
1980-04-16,291.67374
1980-04-17,292.3463
1980-04-18,292.32047
1980-04-19,292.27658
1980-04-20,292.71716
1980-04-21,293.3073
1980-04-22,293.08115
1980-04-23,292.2259
1980-04-24,291.78085
1980-04-25,291.19507
1980-04-26,290.07837
1980-04-27,289.5719
1980-04-28,290.0248
1980-04-29,290.6549
1980-04-30,291.24832
1980-05-01,291.1975
1980-05-02,291.05054
1980-05-03,291.3995
1980-05-04,292.14365
1980-05-05,293.1504
1980-05-06,293.89423
1980-05-07,293.83936
1980-05-08,293.47302
1980-05-09,293.46884
1980-05-10,293.59717
1980-05-11,293.4384
1980-05-12,292.97998
1980-05-13,292.86542
1980-05-14,293.05463
1980-05-15,293.07965
1980-05-16,292.53168
1980-05-17,292.1457
1980-05-18,292.31976
1980-05-19,292.89777
1980-05-20,293.32162
1980-05-21,293.3085
1980-05-22,293.01605
1980-05-23,293.01685
1980-05-24,293.4448
1980-05-25,294.2731
1980-05-26,294.87964
1980-05-27,295.20767
1980-05-28,295.15854
1980-05-29,295.11215
1980-05-30,295.4968
1980-05-31,295.97812
1980-06-01,296.35422
1980-06-02,296.74814
1980-06-03,296.60364
1980-06-04,296.3701
1980-06-05,296.1812
1980-06-06,296.07452
1980-06-07,295.835
1980-06-08,295.10754
1980-06-09,294.33365
1980-06-10,294.39197
1980-06-11,294.91055
1980-06-12,295.44714
1980-06-13,295.5629
1980-06-14,295.49155
1980-06-15,295.48938
1980-06-16,295.67117
1980-06-17,295.9733
1980-06-18,296.15714
1980-06-19,296.43463
1980-06-20,297.06393
1980-06-21,297.4145
1980-06-22,297.0477
1980-06-23,296.7106
1980-06-24,296.5864
1980-06-25,296.58276
1980-06-26,296.39883
1980-06-27,296.25363
1980-06-28,296.25537
1980-06-29,296.33423
1980-06-30,296.4313
1980-07-01,296.55966
1980-07-02,296.6878
1980-07-03,296.57916
1980-07-04,296.77054
1980-07-05,296.6937
1980-07-06,296.41632
1980-07-07,296.41666
1980-07-08,296.46677
1980-07-09,296.20486
1980-07-10,295.92935
1980-07-11,295.5717
1980-07-12,295.48962
1980-07-13,295.9555
1980-07-14,296.6137
1980-07-15,296.99524
1980-07-16,297.2188
1980-07-17,297.05936
1980-07-18,297.1519
1980-07-19,297.071
1980-07-20,296.88596
1980-07-21,296.67444
1980-07-22,296.33026
1980-07-23,296.28976
1980-07-24,295.9368
1980-07-25,295.91483
1980-07-26,295.8985
1980-07-27,296.03522
1980-07-28,296.06116
1980-07-29,295.7491
1980-07-30,295.33057
1980-07-31,295.01562
1980-08-01,294.9727
1980-08-02,295.03455
1980-08-03,295.08838
1980-08-04,295.36636
1980-08-05,295.61307
1980-08-06,295.99796
1980-08-07,295.73645
1980-08-08,295.16415
1980-08-09,294.83853
1980-08-10,295.1728
1980-08-11,295.67877
1980-08-12,295.67725
1980-08-13,295.52225
1980-08-14,295.16235
1980-08-15,294.9154
1980-08-16,294.6372
1980-08-17,294.73535
1980-08-18,294.86948
1980-08-19,294.8517
1980-08-20,295.0491
1980-08-21,295.29605
1980-08-22,295.62732
1980-08-23,295.72095
1980-08-24,295.32614
1980-08-25,295.01877
1980-08-26,294.86328
1980-08-27,294.80563
1980-08-28,294.74133
1980-08-29,295.0114
1980-08-30,295.20444
1980-08-31,294.98282
1980-09-01,294.52853
1980-09-02,294.17535
1980-09-03,294.18927
1980-09-04,294.26373
1980-09-05,294.20865
1980-09-06,293.88205
1980-09-07,293.46246
1980-09-08,293.23486
1980-09-09,293.33292
1980-09-10,293.41434
1980-09-11,293.3544
1980-09-12,293.15207
1980-09-13,292.82172
1980-09-14,292.44754
1980-09-15,292.0798
1980-09-16,291.8212
1980-09-17,291.71756
1980-09-18,291.26526
1980-09-19,290.3317
1980-09-20,290.24582
1980-09-21,290.30273
1980-09-22,289.82852
1980-09-23,289.5606
1980-09-24,289.8928
1980-09-25,290.55823
1980-09-26,291.04706
1980-09-27,290.90643
1980-09-28,290.6275
1980-09-29,290.77832
1980-09-30,290.67984
1980-10-01,290.45648
1980-10-02,290.3383
1980-10-03,290.2133
1980-10-04,289.63785
1980-10-05,288.92847
1980-10-06,288.87244
1980-10-07,289.3101
1980-10-08,289.9315
1980-10-09,290.24203
1980-10-10,289.74338
1980-10-11,288.63107
1980-10-12,288.26562
1980-10-13,287.87924
1980-10-14,288.0616
1980-10-15,288.14313
1980-10-16,288.19205
1980-10-17,287.8513
1980-10-18,287.3266
1980-10-19,287.18585
1980-10-20,287.53085
1980-10-21,286.7689
1980-10-22,286.33337
1980-10-23,285.59164
1980-10-24,285.35263
1980-10-25,285.8919
1980-10-26,286.62784
1980-10-27,286.80554
1980-10-28,286.57645
1980-10-29,286.7112
1980-10-30,286.629
1980-10-31,285.91678
1980-11-01,284.94388
1980-11-02,284.4074
1980-11-03,283.9935
1980-11-04,284.03607
1980-11-05,284.33768
1980-11-06,284.9772
1980-11-07,285.46597
1980-11-08,285.16974
1980-11-09,284.81342
1980-11-10,284.26337
1980-11-11,284.96954
1980-11-12,284.65463
1980-11-13,283.91098
1980-11-14,283.77222
1980-11-15,283.5307
1980-11-16,283.58743
1980-11-17,283.47418
1980-11-18,283.0121
1980-11-19,282.39825
1980-11-20,282.0853
1980-11-21,281.42978
1980-11-22,281.57944
1980-11-23,282.45737
1980-11-24,283.2932
1980-11-25,283.5121
1980-11-26,283.57758
1980-11-27,282.5073
1980-11-28,281.82007
1980-11-29,282.1614
1980-11-30,281.5032
1980-12-01,281.4414
1980-12-02,281.26294
1980-12-03,278.60547
1980-12-04,276.9367
1980-12-05,277.25763
1980-12-06,278.53223
1980-12-07,279.76123
1980-12-08,278.99857
1980-12-09,278.17612
1980-12-10,278.755
1980-12-11,279.04367
1980-12-12,278.60373
1980-12-13,278.0723
1980-12-14,277.6167
1980-12-15,277.80795
1980-12-16,278.95364
1980-12-17,279.3873
1980-12-18,278.75845
1980-12-19,277.9242
1980-12-20,277.76904
1980-12-21,278.28824
1980-12-22,278.48492
1980-12-23,278.25775
1980-12-24,277.87253
1980-12-25,277.83768
1980-12-26,277.81918
1980-12-27,278.06195
1980-12-28,278.1793
1980-12-29,277.96643
1980-12-30,277.48398
1980-12-31,276.90497
1981-01-01,276.3918
1981-01-02,276.29
1981-01-03,277.45596
1981-01-04,277.82266
1981-01-05,278.24402
1981-01-06,279.2339
1981-01-07,279.07645
1981-01-08,278.96753
1981-01-09,278.8555
1981-01-10,278.3846
1981-01-11,277.834
1981-01-12,277.62546
1981-01-13,277.29282
1981-01-14,277.37186
1981-01-15,277.1969
1981-01-16,276.83
1981-01-17,276.91873
1981-01-18,277.3814
1981-01-19,277.68964
1981-01-20,277.52124
1981-01-21,277.68185
1981-01-22,277.49097
1981-01-23,277.113
1981-01-24,276.82864
1981-01-25,276.9324
1981-01-26,277.1144
1981-01-27,277.20615
1981-01-28,277.27896
1981-01-29,276.2663
1981-01-30,275.24185
1981-01-31,275.20676
1981-02-01,275.74442
1981-02-02,277.05588
1981-02-03,277.30356
1981-02-04,276.08438
1981-02-05,275.14642
1981-02-06,275.47586
1981-02-07,276.17407
1981-02-08,277.2409
1981-02-09,278.22852
1981-02-10,279.0276
1981-02-11,279.24402
1981-02-12,279.1435
1981-02-13,279.1533
1981-02-14,279.34186
1981-02-15,279.97272
1981-02-16,279.4949
1981-02-17,279.89868
1981-02-18,279.99963
1981-02-19,280.13852
1981-02-20,280.74985
1981-02-21,280.7648
1981-02-22,280.42075
1981-02-23,280.04443
1981-02-24,280.64972
1981-02-25,281.33627
1981-02-26,281.37177
1981-02-27,281.69086
1981-02-28,280.48523
1981-03-01,279.79062
1981-03-02,279.1624
1981-03-03,278.13742
1981-03-04,277.64764
1981-03-05,277.90125
1981-03-06,278.72574
1981-03-07,280.09726
1981-03-08,281.63507
1981-03-09,282.24994
1981-03-10,282.5106
1981-03-11,282.19592
1981-03-12,282.4976
1981-03-13,283.18503
1981-03-14,283.42865
1981-03-15,283.26706
1981-03-16,283.26065
1981-03-17,283.2433
1981-03-18,283.37885
1981-03-19,283.90775
1981-03-20,284.49835
1981-03-21,285.19885
1981-03-22,286.08755
1981-03-23,285.81165
1981-03-24,285.08563
1981-03-25,285.66168
1981-03-26,286.56216
1981-03-27,287.1067
1981-03-28,286.89224
1981-03-29,287.15128
1981-03-30,287.3258
1981-03-31,287.40442
1981-04-01,287.28482
1981-04-02,287.4817
1981-04-03,288.2119
1981-04-04,288.7768
1981-04-05,288.53152
1981-04-06,288.57074
1981-04-07,288.39468
1981-04-08,288.37274
1981-04-09,288.85754
1981-04-10,288.5342
1981-04-11,287.80383
1981-04-12,287.56616
1981-04-13,287.79916
1981-04-14,287.94592
1981-04-15,288.41238
